Season,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
2023,"Karl Kauffmann","COL",0.3162393162393162,1.063829787,0.198347107,0.41322314,0.388429752,0.042553191,0.106382978,24,6.171428907744757,239,344,583,0.36885246,0.40163934,0.2295082,0.09016393,0.40163934,0.50819672,"Karl Kauffmann",27488,666154
2021,"Ryan Hendrix","CIN",0.3048780487804878,1.129032258,0.25,0.397727272,0.352272727,0.032258064,0.258064516,25,7.1052650124087116,235,305,540,0.43333333,0.32222222,0.24444444,0.07777778,0.44444444,0.47777778,"Ryan Hendrix",19535,641682
2022,"Matt Swarmer","CHC",0.24705882352941178,0.772727272,0.195876288,0.350515463,0.453608247,0.09090909,0.272727272,25,6.617647430063553,270,387,657,0.54639175,0.24742268,0.20618557,0.12371134,0.40206186,0.4742268,"Matt Swarmer",19705,664161
2021,"Amir Garrett","CIN",0.31896551724137934,1.465116279,0.14516129,0.508064516,0.346774193,0.116279069,0.209302325,25,4.720281105390753,310,518,828,0.448,0.32,0.232,0.184,0.368,0.448,"Amir Garrett",14375,607237
2021,"John Curtiss","- - -",0.2903225806451613,1.106382978,0.232558139,0.403100775,0.364341085,0.127659574,0.127659574,20,4.06015127845054,228,475,703,0.43846154,0.33076923,0.23076923,0.12307692,0.43076923,0.44615385,"John Curtiss",16128,595928
2021,"Kyle Keller","PIT",0.25301204819277107,0.586956521,0.206521739,0.29347826,0.5,0.152173913,0.195652173,8,2.160000329589894,243,411,654,0.33695652,0.41304348,0.25,0.14130435,0.41304348,0.44565217,"Kyle Keller",18890,664918
2021,"Alex Lange","DET",0.32323232323232326,1.483870967,0.259615384,0.442307692,0.298076923,0.096774193,0.161290322,17,4.289720390840404,239,400,639,0.42307692,0.39423077,0.18269231,0.11538462,0.44230769,0.44230769,"Alex Lange",19883,656638
2023,"Peyton Battenfield","CLE",0.27,1.045454545,0.158878504,0.429906542,0.411214953,0.045454545,0.159090909,4,1.0384616146426284,194,357,551,0.4953271,0.3364486,0.1682243,0.05607477,0.5046729,0.43925234,"Peyton Battenfield",25777,685410
2021,"Kohei Arihara","TEX",0.2698412698412698,1.057692307,0.207407407,0.407407407,0.385185185,0.019230769,0.211538461,23,5.090164252744847,270,426,696,0.42335766,0.35036496,0.22627737,0.10218978,0.45985401,0.4379562,"Kohei Arihara",27505,685503
2023,"Eric Lauer","MIL",0.296875,0.486486486,0.236111111,0.25,0.513888888,0.054054054,0.216216216,34,6.557143080477819,324,523,847,0.46527778,0.33333333,0.20138889,0.09027778,0.47222222,0.4375,"Eric Lauer",19316,641778
2024,"Keaton Winn","SFG",0.29936305732484075,1.673469387,0.201219512,0.5,0.298780487,0.020408163,0.183673469,21,3.4156627290946946,291,586,877,0.48484848,0.33939394,0.17575758,0.07878788,0.48484848,0.43636364,"Keaton Winn",23499,676775
2023,"Peter Lambert","COL",0.2964426877470356,0.99122807,0.162361623,0.416974169,0.420664206,0.070175438,0.157894736,59,6.080153025861727,538,913,1451,0.36531365,0.36162362,0.27306273,0.12177122,0.44280443,0.43542435,"Peter Lambert",17969,663567
2024,"Bradley Blalock","- - -",0.30392156862745096,0.886363636,0.216981132,0.367924528,0.415094339,0.068181818,0.09090909,22,6.456522274558215,215,339,554,0.38679245,0.43396226,0.17924528,0.14150943,0.4245283,0.43396226,"Bradley Blalock",26419,687134
2021,"Chase De Jong","PIT",0.30158730158730157,0.63076923,0.220588235,0.301470588,0.477941176,0.03076923,0.169230769,15,3.0916032334890136,285,490,775,0.41605839,0.39416058,0.18978102,0.10218978,0.46715328,0.43065693,"Chase De Jong",15036,608328
2023,"Drew Rom","STL",0.39285714285714285,0.903846153,0.168067226,0.394957983,0.436974789,0.038461538,0.134615384,23,6.14851531593514,254,418,672,0.39495798,0.35294118,0.25210084,0.12605042,0.44537815,0.42857143,"Drew Rom",24602,680723
2021,"Taylor Widener","ARI",0.2712765957446808,0.728260869,0.192893401,0.340101522,0.467005076,0.086956521,0.152173913,24,3.071090227841983,460,757,1217,0.4009901,0.35148515,0.24752475,0.14851485,0.42574257,0.42574257,"Taylor Widener",19266,642203
2022,"Justin Dunn","CIN",0.2441860465116279,0.583333333,0.2,0.294736842,0.505263157,0.125,0.229166666,19,5.516129371651027,219,321,540,0.43298969,0.28865979,0.27835052,0.1443299,0.43298969,0.42268041,"Justin Dunn",19268,643290
2024,"Erik Swanson","TOR",0.23809523809523808,1.195121951,0.224137931,0.422413793,0.353448275,0.097560975,0.268292682,25,5.720339722758112,241,426,667,0.38793103,0.37931034,0.23275862,0.11206897,0.46551724,0.42241379,"Erik Swanson",16587,657024
2021,"Nick Wittgren","CLE",0.2909090909090909,1.509433962,0.244318181,0.454545454,0.301136363,0.018867924,0.245283018,17,2.4545458824993447,368,650,1018,0.38202247,0.28651685,0.33146067,0.12921348,0.4494382,0.42134831,"Nick Wittgren",15594,621295
2022,"Cole Sulser","MIA",0.3707865168539326,1.121212121,0.239130434,0.402173913,0.358695652,0.121212121,0.181818181,7,1.8529415922594838,218,401,619,0.43157895,0.37894737,0.18947368,0.12631579,0.45263158,0.42105263,"Cole Sulser",15256,642121
2022,"Dinelson Lamet","- - -",0.33766233766233766,0.84375,0.253164556,0.341772151,0.405063291,0.125,0.125,15,4.175258511906179,233,350,583,0.40740741,0.2962963,0.2962963,0.13580247,0.44444444,0.41975309,"Dinelson Lamet",17186,659275
2024,"Victor Vodnik","COL",0.30952380952380953,2.017241379,0.186046511,0.544186046,0.269767441,0.051724137,0.120689655,19,2.321267288866316,536,806,1342,0.32258065,0.40552995,0.2718894,0.15668203,0.42396313,0.41935484,"Victor Vodnik",24614,680767
2023,"Dylan Dodd","ATL",0.3464566929133858,0.774193548,0.185185185,0.355555555,0.459259259,0.032258064,0.14516129,26,6.81553423300194,171,397,568,0.41911765,0.34558824,0.23529412,0.08088235,0.5,0.41911765,"Dylan Dodd",29928,689266
2023,"Josh Winder","MIN",0.3137254901960784,0.955555555,0.161904761,0.409523809,0.428571428,0.066666666,0.066666666,30,7.788462109819713,205,355,560,0.44761905,0.34285714,0.20952381,0.16190476,0.41904762,0.41904762,"Josh Winder",24606,680739
2024,"Hayden Birdsong","SFG",0.27218934911242604,0.958904109,0.1875,0.397727272,0.414772727,0.02739726,0.150684931,37,4.625,568,820,1388,0.39444444,0.36666667,0.23888889,0.1,0.48333333,0.41666667,"Hayden Birdsong",31635,806185
2023,"Andre Jackson","- - -",0.24848484848484848,0.914285714,0.238636363,0.363636363,0.397727272,0.128571428,0.157142857,22,3.2282610368863933,352,650,1002,0.44886364,0.28409091,0.26704545,0.125,0.46022727,0.41477273,"Andre Jackson",21298,656578
2023,"Braxton Garrett","MIA",0.30248306997742663,1.719696969,0.222943722,0.491341991,0.285714285,0.06060606,0.151515151,64,3.6075158874585553,844,1642,2486,0.50107991,0.31533477,0.18358531,0.12958963,0.45788337,0.412527,"Braxton Garrett",21844,666129
2023,"Luis L. Ortiz","PIT",0.30935251798561153,1.510869565,0.203448275,0.479310344,0.317241379,0.02173913,0.141304347,42,4.361538493534518,576,886,1462,0.42955326,0.35395189,0.21649485,0.12714777,0.4604811,0.41237113,"Luis L. Ortiz",27646,682847
2021,"Tyler Kinley","COL",0.25133689839572193,0.916666666,0.186868686,0.388888888,0.424242424,0.119047619,0.142857142,34,4.350711687044928,404,739,1143,0.48241206,0.29648241,0.22110553,0.16582915,0.42211055,0.4120603,"Tyler Kinley",18297,641755
2021,"Miguel Díaz","SDP",0.23232323232323232,1.222222222,0.245283018,0.415094339,0.339622641,0.055555555,0.222222222,29,6.214285714285714,259,436,695,0.44859813,0.30841121,0.24299065,0.14953271,0.43925234,0.41121495,"Miguel Diaz",18815,622766
2022,"Yusei Kikuchi","TOR",0.2916666666666667,1.18556701,0.190839694,0.438931297,0.370229007,0.051546391,0.237113402,46,4.112583119118169,705,1139,1844,0.47148289,0.35741445,0.17110266,0.12927757,0.46007605,0.41064639,"Yusei Kikuchi",20633,579328
2021,"Trevor Richards","- - -",0.2014388489208633,0.554054054,0.222972972,0.277027027,0.5,0.148648648,0.162162162,39,5.45595930409239,407,654,1061,0.35099338,0.30463576,0.34437086,0.1589404,0.43046358,0.41059603,"Trevor Richards",19309,670950
2023,"José Ureña","- - -",0.26811594202898553,1.339622641,0.173333333,0.473333333,0.353333333,0.037735849,0.245283018,15,3.0223882317835242,293,478,771,0.52980132,0.26490066,0.20529801,0.09271523,0.49668874,0.41059603,"Jose Urena",11589,570632
