"MLBAMID","PlayerId","Name","Team","Age","Season","TBF","K%","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","NameASCII","Balls","Strikes","Pitches","strike_pct","ball_pct","FA%","FT%","FC%","FS%","FO%","SI%","SL%","CU%","KC%","EP%","CH%","SC%","KN%","UN%","vFA","vFT","vFC","vFS","vFO","vSI","vSL","vCU","vKC","vEP","vCH","vSC","vKN","FA-X","FT-X","FC-X","FS-X","FO-X","SI-X","SL-X","CU-X","KC-X","EP-X","CH-X","SC-X","KN-X","FA-Z","FT-Z","FC-Z","FS-Z","FO-Z","SI-Z","SL-Z","CU-Z","KC-Z","EP-Z","CH-Z","SC-Z","KN-Z","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","Pace"
695243,31757,"Mason Miller","OAK",25,2024,249,0.41767068,2,2,2.492307985,55,0,0,0,0,28,0,3,65,36,23,18,6,21,3,1,2,0,104,"Mason Miller",331,694,1025,0.677073170731707,0.322926829268293,0.63085938,NA,NA,0.00292969,NA,NA,0.34960938,NA,NA,NA,0.01660156,NA,NA,NA,100.8716742,NA,NA,96.53333537,NA,NA,87.53659109,NA,NA,NA,92.25294405,NA,NA,-6.223915124,NA,NA,-10.04946772,NA,NA,3.27015865,NA,NA,NA,-8.084124397,NA,NA,9.91209199,NA,NA,3.389521917,NA,NA,-0.8052581276,NA,NA,NA,2.974215115,NA,NA,0.375,0.65858209,0.5234375,0.41530055,0.73087819,0.62313433,0.5234375,17.92377261
621242,14710,"Edwin Díaz","NYM",30,2024,216,0.38888889,6,4,3.521739548,54,0,0,0,0,20,2,7,53.2,36,23,21,7,20,0,3,3,0,84,"Edwin Diaz",333,581,914,0.635667396061269,0.364332603938731,0.52083333,NA,NA,NA,NA,NA,0.47916667,NA,NA,NA,NA,NA,NA,NA,97.4867352,NA,NA,NA,NA,NA,89.61532823,NA,NA,NA,NA,NA,NA,-8.384868935,NA,NA,NA,NA,NA,-0.09023895089,NA,NA,NA,NA,NA,NA,7.434643812,NA,NA,NA,NA,NA,3.098031679,NA,NA,NA,NA,NA,NA,0.28125,0.68965517,0.48903509,0.45238095,0.725,0.64798206,0.50877193,16.68641618
518585,7048,"Fernando Cruz","CIN",34,2024,288,0.37847222,3,8,4.86000102,69,3,0,0,0,0,23,3,66.2,54,36,36,9,35,2,1,8,0,109,"Fernando Cruz",431,708,1139,0.621597892888499,0.378402107111501,0.32661996,NA,0.25481611,0.41768827,NA,NA,NA,NA,NA,NA,0.00087566,NA,NA,NA,94.62332636,NA,88.62611835,81.51278795,NA,NA,NA,NA,NA,NA,83.80000305,NA,NA,-4.188088343,NA,2.041954119,-3.59737657,NA,NA,NA,NA,NA,NA,9.33319664,NA,NA,9.911704219,NA,4.558529936,2.137217508,NA,NA,NA,NA,NA,NA,3.822588682,NA,NA,0.31382114,0.63757116,0.46322242,0.36787565,0.78571429,0.63327032,0.4614711,20.15801887
623352,14212,"Josh Hader","HOU",30,2024,278,0.37769784,8,8,3.80281731,71,0,0,0,0,34,0,4,71,43,33,30,12,25,0,1,4,2,105,"Josh Hader",389,779,1168,0.666952054794521,0.33304794520548,NA,NA,NA,NA,NA,0.71526587,0.27444254,NA,NA,NA,0.0102916,NA,NA,NA,NA,NA,NA,NA,NA,96.10539381,85.52249756,NA,NA,NA,89.30832926,NA,NA,NA,NA,NA,NA,NA,5.102484028,0.3023916245,NA,NA,NA,7.582714717,NA,NA,NA,NA,NA,NA,NA,11.39317179,1.627841759,NA,NA,NA,4.297528585,NA,NA,0.36515913,0.7258348,0.54116638,0.44036697,0.71428571,0.61965135,0.48799314,18.81376975
663574,19926,"Tony Santillan","CIN",27,2024,122,0.37704918,3,3,3.000000572,29,1,0,0,0,0,4,2,30,21,11,10,4,9,0,0,1,0,46,"Tony Santillan",168,337,505,0.667326732673267,0.332673267326733,0.6031746,NA,NA,NA,NA,NA,0.38690476,NA,NA,NA,0.00992063,NA,NA,NA,97.18783168,NA,NA,NA,NA,NA,86.74564115,NA,NA,NA,91.98000488,NA,NA,-6.446356723,NA,NA,NA,NA,NA,5.090077522,NA,NA,NA,-8.671577454,NA,NA,8.008039575,NA,NA,NA,NA,NA,-0.2033444295,NA,NA,NA,3.188726425,NA,NA,0.28571429,0.66202091,0.5,0.53225806,0.78947368,0.72619048,0.56944444,19.63157895
669093,22210,"Jeremiah Estrada","SDP",25,2024,252,0.37301587,6,3,2.950820226,62,0,0,0,0,1,16,3,61,42,22,20,4,23,1,0,5,0,94,"Jeremiah Estrada",332,672,1004,0.669322709163347,0.330677290836653,0.56530409,NA,NA,0.19840479,NA,NA,0.23629113,NA,NA,NA,NA,NA,NA,NA,97.20899471,NA,NA,83.62211448,NA,NA,89.78270042,NA,NA,NA,NA,NA,NA,-1.011239834,NA,NA,-6.980202526,NA,NA,2.524299203,NA,NA,NA,NA,NA,NA,11.39502298,NA,NA,5.566743017,NA,NA,3.387311589,NA,NA,NA,NA,NA,NA,0.34177215,0.70888469,0.53539382,0.40123457,0.77333333,0.66108007,0.52741775,20.12985274
547973,10233,"Aroldis Chapman","PIT",36,2024,265,0.36981132,5,5,3.794594986,68,0,0,0,0,14,22,5,61.2,44,31,26,5,39,0,2,4,2,98,"Aroldis Chapman",418,712,1130,0.630088495575221,0.369911504424779,0.34311111,NA,NA,0.12,NA,0.27022222,0.26666667,NA,NA,NA,NA,NA,NA,NA,97.80751093,NA,NA,91.55555556,NA,99.8529631,86.98933594,NA,NA,NA,NA,NA,NA,2.428023264,NA,NA,2.343556722,NA,6.356829995,-5.053983968,NA,NA,NA,NA,NA,NA,10.28133855,NA,NA,2.337563296,NA,9.252659045,3.929182536,NA,NA,NA,NA,NA,NA,0.26286765,0.616179,0.44533333,0.4965035,0.7849162,0.70259481,0.51644444,20.48187135
671305,22533,"Michel Otañez","OAK",26,2024,151,0.36423841,1,0,3.441177243,36,0,0,0,0,1,6,2,34,27,15,13,2,20,0,3,6,0,55,"Michel Otanez",224,378,602,0.627906976744186,0.372093023255814,0.4109817,NA,NA,NA,NA,0.17803661,0.4109817,NA,NA,NA,NA,NA,NA,NA,97.9534413,NA,NA,NA,NA,97.39065238,85.26558546,NA,NA,NA,NA,NA,NA,-6.526018274,NA,NA,NA,NA,-9.911638206,0.6736849271,NA,NA,NA,NA,NA,NA,9.684027668,NA,NA,NA,NA,7.042612236,2.246245226,NA,NA,NA,NA,NA,NA,0.28571429,0.65,0.46755408,0.29069767,0.75897436,0.61565836,0.49916805,19.65401786
489446,9073,"Kirby Yates","TEX",37,2024,237,0.35864979,7,2,1.167567688,61,0,0,0,0,33,2,1,61.2,23,10,8,3,28,5,2,1,2,85,"Kirby Yates",367,661,1028,0.642996108949416,0.357003891050584,0.60759494,NA,NA,0.3865628,NA,NA,0.00584226,NA,NA,NA,NA,NA,NA,NA,93.14952048,NA,NA,86.29168963,NA,NA,85.7666626,NA,NA,NA,NA,NA,NA,-8.695695926,NA,NA,-8.314604406,NA,NA,-1.479486465,NA,NA,NA,NA,NA,NA,8.536004482,NA,NA,0.3031439793,NA,NA,1.966010888,NA,NA,NA,NA,NA,NA,0.33088235,0.67287785,0.49172347,0.57777778,0.75384615,0.69108911,0.47030185,20.30671736
670955,20539,"Edwin Uceta","TBR",26,2024,159,0.35849057,2,0,1.512000231,30,0,0,0,0,5,7,0,41.2,26,8,7,2,8,0,1,0,0,57,"Edwin Uceta",223,451,674,0.669139465875371,0.330860534124629,NA,NA,0.21279762,NA,NA,0.40178571,0.04017857,0.00446429,NA,NA,0.34077381,NA,NA,NA,NA,NA,89.31188538,NA,NA,94.17926071,81.09999819,81.6333313,NA,NA,88.29126296,NA,NA,NA,NA,0.06633096975,NA,NA,-7.91875633,7.19426473,2.301083088,NA,NA,-10.35942084,NA,NA,NA,NA,5.713280738,NA,NA,8.061450195,-0.4279101336,-3.283430099,NA,NA,-0.1524077503,NA,NA,0.36666667,0.65204678,0.51190476,0.51239669,0.77578475,0.68313953,0.50892857,16.95857988
671922,27867,"Cade Smith","CLE",25,2024,289,0.35640138,6,1,1.911504747,74,0,0,0,0,1,26,2,75.1,51,16,16,1,17,0,3,0,1,103,"Cade Smith",365,801,1166,0.68696397941681,0.31303602058319,0.69125214,NA,NA,0.20668954,NA,NA,0.10205832,NA,NA,NA,NA,NA,NA,NA,95.99764462,NA,NA,88.44895941,NA,NA,82.07226563,NA,NA,NA,NA,NA,NA,-5.632733139,NA,NA,-6.633757659,NA,NA,6.947877002,NA,NA,NA,NA,NA,NA,9.363988228,NA,NA,1.024666877,NA,NA,1.260356486,NA,NA,NA,NA,NA,NA,0.29116466,0.6511976,0.4974271,0.55172414,0.78850575,0.72931034,0.5728988,16.78006873
