Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2024,"George Kirby","SEA",191,-5.94611256361718,,-0.2807351892644709,-5.948320603528559,,-9.54053430924572,3.7454816595441596,,4.237279570151749,,,,-2.5390000343322754,"George Kirby",25436,669923
2023,"Matt Waldron","SDP",41.1,-4.861304462819859,,1.0982480916109951,,,-9.7206129158068,8.142382869014034,,,,,,-2.560602230495877,"Matt Waldron",25550,663362
2024,"Matt Waldron","SDP",146.2,-5.644157262002268,,-0.07018317091521493,,,-9.463336696030398,7.088115676440329,,,,,,-3.5805147630008145,"Matt Waldron",25550,663362
2023,"George Kirby","SEA",190.2,-5.253283603585881,,,-6.189419573510599,,-9.448578131414203,5.7099236138433005,,4.75385124300733,,-9.530260273054534,,-3.8148059844970703,"George Kirby",25436,669923
2021,"Adam Ottavino","BOS",62,-3.747934293346245,,1.2995759060508327,-7.996492862701416,,-9.400763423859127,9.974908759124087,9.340279579162598,,,-9.481307983398438,,,"Adam Ottavino",1247,493603
2021,"Sean Doolittle","- - -",49.2,2.5699895764073584,,,4.180349790132963,,,-0.792034927679568,-3.6645252032157702,,,,,,"Sean Doolittle",1581,448281
2021,"Matt Moore","PHI",73,7.673460597940532,,2.2593213131553247,,,,,,-2.860944668451945,,9.890088744614841,,,"Matt Moore",1890,519043
2021,"Zack Greinke","HOU",171,-1.1235346430165756,,3.4329390092329546,,,-7.848886589075895,3.9813168759191284,6.147148891647845,2.536876996358236,1.5934371948242188,-7.53050045556469,,,"Zack Greinke",1943,425844
2021,"Clayton Kershaw","LAD",121.2,0.21652276831937123,,,,,,-2.1669930411385487,-2.405215085207761,,,7.6976186578924,,,"Clayton Kershaw",2036,477132
2021,"Adam Wainwright","STL",206.1,-1.2330927513913565,,3.140280114599021,,,-7.663234175840093,,9.155008559061294,8.252643931995738,,-8.154161032652244,,,"Adam Wainwright",2233,425794
2021,"Corey Kluber","NYY",80,-3.6862918040791497,,1.4191938127790178,,,-9.556723458426339,,8.969319661458334,,,-8.36936618970788,,,"Corey Kluber",2429,446372
2021,"Lance Lynn","CHW",157,-4.289349751829414,,0.5235599645964552,,,-8.036742430172845,0.5023839473724365,2.906131022685283,,,-8.24199948992048,,,"Lance Lynn",2520,458681
2021,"Jhoulys Chacín","COL",64.1,-2.9252921676635744,,,,,-7.482055708290874,1.793077675652165,6.746016255696615,,,-3.7447102207403917,,,"Jhoulys Chacin",2608,468504
2021,"Ross Detwiler","- - -",52.1,6.544449055313668,,0.5368714230505334,,,10.147571613262226,,-2.8253230550395907,,,8.05520512507512,,,"Ross Detwiler",2859,446321
2021,"Kenley Jansen","LAD",69,,,3.6156229040391494,,,-4.228465386676444,2.8994070342092804,,,,,,,"Kenley Jansen",3096,445276
2021,"Tony Watson","- - -",57.1,9.280741748721919,,,,,11.63958057604338,-0.8275959069648998,,,,12.34164301554362,,,"Tony Watson",3132,453265
2021,"Max Scherzer","- - -",179.1,-7.019336569699639,,-1.4757515647194601,,,,0.5811631751782966,6.822592251542686,,,-9.472081732920644,,,"Max Scherzer",3137,453286
2021,"David Price","LAD",73.2,5.910718140778719,,1.1173663419835709,,,9.214361181400092,,,-4.068733878757643,,9.084181756488347,,,"David Price",3184,456034
2021,"Ervin Santana","KCR",65.1,-2.984367959932395,,,,,-7.28763484954834,2.0088691158571104,,,,-4.880932726178851,,,"Ervin Santana",3200,429722
2021,"T.J. McFarland","STL",38.2,,,-0.511130690574646,,,10.27259587562322,-2.56180663335891,,,,9.28452107057733,,,"T.J. McFarland",3237,519008
2021,"Joe Smith","- - -",39.2,-10.175574364600244,,,,,-9.658090079340953,7.5756075014626925,6.336732864379883,,,-9.529727390834264,,,"Joe Smith",3281,501925
2021,"Danny Duffy","KCR",61,3.269386812492653,,,,,7.245757346929506,-3.2832991143931514,-4.032280865065548,,,8.960384910337387,,,"Danny Duffy",3542,518633
2021,"Liam Hendriks","CHW",71,-4.364437790017247,,,,,,0.4133180983523105,0.9324345098477658,,,-7.556590557098389,,,"Liam Hendriks",3548,521230
2021,"Yusmeiro Petit","OAK",78,-3.233179204150884,,-0.975936460686496,,,,,5.308189755394345,,,-7.0407190772251305,,,"Yusmeiro Petit",4020,433589
2021,"Derek Holland","DET",49.2,7.447262926799495,,,,,9.621360954421256,,,1.0147871937312134,,7.677358913421631,,,"Derek Holland",4141,502706
2021,"Jake Arrieta","- - -",98.2,,,,,,-9.751772540548574,1.025137807087726,5.935627650151022,,,-9.948087557940417,,,"Jake Arrieta",4153,453562
2021,"Rafael Dolis","TOR",32,-2.5050456523895264,,,-6.0920359293619795,,-8.449917367788462,3.836582101506295,,,,,,,"Rafael Dolis",4185,503569
2021,"Mark Melancon","SDP",64.2,-5.63244734139278,,-0.35899274421460703,-7.63619327545166,,,1.2964104413986206,,1.3966183319934824,,,,,"Mark Melancon",4264,453343
2021,"Justin Wilson","- - -",34,3.97909998010706,,-1.6416814050009085,,,,-2.2853150618703744,,,,,,,"Justin Wilson",4301,458677
2021,"Tyler Chatwood","- - -",32,-2.57641713162686,,2.193166964522032,,,-8.524024290197035,,6.880634204761402,,,-6.556814284551711,,,"Tyler Chatwood",4338,543022
2021,"Charlie Morton","ATL",185.2,-8.061757704790901,,0.6799559461269454,,,-10.540101823586118,,8.722160853540528,,,-10.82021806824882,,,"Charlie Morton",4676,450203
2021,"Matt Shoemaker","MIN",60.1,-5.671666071965144,,,-7.011303745420639,,-9.391894427212803,1.5121120584422145,,4.504457877232478,,,,,"Matt Shoemaker",4776,533167
2021,"Rich Hill","- - -",158.2,5.7970106942313055,,-0.33643151366192364,,,10.562795420162013,-12.028460497111944,-10.68794612864209,-10.076509475708008,,8.246271906672296,,,"Rich Hill",4806,448179
2021,"Jon Lester","- - -",141.1,3.5550507416596284,,-0.24096567564214197,,,7.537198320705088,,-5.141477973900031,,,6.717308892144097,,,"Jon Lester",4930,452657
2021,"Jake Diekman","OAK",60.2,9.223719068020353,,,,,10.524894163780605,-6.40441557320442,,,,9.675399780273438,,,"Jake Diekman",5003,518617
