Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2021,"Adam Ottavino","BOS",62,0.20713664,,0.01653612,0.00174064,,0.27415144,0.47693647,0.00696258,,,0.01653612,,,,"Adam Ottavino",1247,493603
2021,"Sean Doolittle","- - -",49.2,0.80941447,,,0.04477612,,,0.05625718,0.08955224,,,,,,,"Sean Doolittle",1581,448281
2021,"Matt Moore","PHI",73,0.59217877,,0.06065443,,,,,,0.15323224,,0.19393456,,,,"Matt Moore",1890,519043
2021,"Zack Greinke","HOU",171,0.4016298,,0.02134265,,,0.05781917,0.13154831,0.16375631,0.00232829,0.0007761,0.22079938,,,,"Zack Greinke",1943,425844
2021,"Clayton Kershaw","LAD",121.2,0.36766334,,,,,,0.47508306,0.15116279,,,0.00609081,,,,"Clayton Kershaw",2036,477132
2021,"Adam Wainwright","STL",206.1,0.09745763,,0.21642764,,,0.28129074,,0.33767927,0.0035854,,0.06355932,,,,"Adam Wainwright",2233,425794
2021,"Corey Kluber","NYY",80,0.04559043,,0.27204783,,,0.25112108,,0.29372197,,,0.13751868,,,,"Corey Kluber",2429,446372
2021,"Lance Lynn","CHW",157,0.41630044,,0.30922893,,,0.19936077,0.00079904,0.02956452,,,0.0447463,,,,"Lance Lynn",2520,458681
2021,"Jhoulys Chacín","COL",64.1,0.09345794,,,,,0.32242991,0.19719626,0.35046729,,,0.0364486,,,,"Jhoulys Chacin",2608,468504
2021,"Ross Detwiler","- - -",52.1,0.33896396,,0.36824324,,,0.17342342,,0.07545045,,,0.04391892,,,,"Ross Detwiler",2859,446321
2021,"Kenley Jansen","LAD",69,,,0.58730159,,,0.25863679,0.15406162,,,,,,,,"Kenley Jansen",3096,445276
2021,"Tony Watson","- - -",57.1,0.25057737,,,,,0.17551963,0.24133949,,,,0.33256351,,,,"Tony Watson",3132,453265
2021,"Max Scherzer","- - -",179.1,0.46709356,,0.09782995,,,,0.18783351,0.0981857,,,0.14905727,,,,"Max Scherzer",3137,453286
2021,"David Price","LAD",73.2,0.18336163,,0.20203735,,,0.34465195,,,0.01952462,,0.25042445,,,,"David Price",3184,456034
2021,"Ervin Santana","KCR",65.1,0.44892221,,,,,0.00093721,0.51733833,,,,0.03280225,,,,"Ervin Santana",3200,429722
2021,"T.J. McFarland","STL",38.2,,,0.00195313,,,0.68554688,0.08203125,,,,0.23046875,,,,"T.J. McFarland",3237,519008
2021,"Joe Smith","- - -",39.2,0.23583461,,,,,0.39356815,0.34762634,0.00153139,,,0.02143951,,,,"Joe Smith",3281,501925
2021,"Danny Duffy","KCR",61,0.42814668,,,,,0.12784936,0.18235877,0.10802775,,,0.15361744,,,,"Danny Duffy",3542,518633
2021,"Liam Hendriks","CHW",71,0.68931159,,,,,,0.21286232,0.09692029,,,0.0009058,,,,"Liam Hendriks",3548,521230
2021,"Yusmeiro Petit","OAK",78,0.45748614,,0.23012939,,,,,0.13585952,,,0.17652495,,,,"Yusmeiro Petit",4020,433589
2021,"Derek Holland","DET",49.2,0.09820359,,,,,0.46826347,,,0.33772455,,0.09580838,,,,"Derek Holland",4141,502706
2021,"Jake Arrieta","- - -",98.2,,,,,,0.52691867,0.23768614,0.15406644,,,0.08132875,,,,"Jake Arrieta",4153,453562
2021,"Rafael Dolis","TOR",32,0.00166113,,,0.11960133,,0.64784053,0.23089701,,,,,,,,"Rafael Dolis",4185,503569
2021,"Mark Melancon","SDP",64.2,0.02754036,,0.62678063,0.00094967,,,0.00094967,,0.34377968,,,,,,"Mark Melancon",4264,453343
2021,"Justin Wilson","- - -",34,0.58112583,,0.35596026,,,,0.06291391,,,,,,,,"Justin Wilson",4301,458677
2021,"Tyler Chatwood","- - -",32,0.07952623,,0.36209814,,,0.46023689,,0.06260575,,,0.03553299,,,,"Tyler Chatwood",4338,543022
2021,"Charlie Morton","ATL",185.2,0.36424506,,0.08470037,,,0.130231,,0.3675929,,,0.05323067,,,,"Charlie Morton",4676,450203
2021,"Matt Shoemaker","MIN",60.1,0.2443609,,,0.33270677,,0.16541353,0.24530075,,0.01221805,,,,,,"Matt Shoemaker",4776,533167
2021,"Rich Hill","- - -",158.2,0.47115385,,0.02764423,,,0.0244391,0.0693109,0.37620192,0.00160256,,0.02964744,,,,"Rich Hill",4806,448179
2021,"Jon Lester","- - -",141.1,0.31092437,,0.25588235,,,0.16722689,,0.08445378,,,0.18151261,,,,"Jon Lester",4930,452657
2021,"Jake Diekman","OAK",60.2,0.5822898,,,,,0.08676208,0.32379249,,,,0.00715564,,,,"Jake Diekman",5003,518617
2021,"Jeurys Familia","NYM",59.1,0.14454277,,,0.02949853,,0.59193707,0.23402163,,,,,,,,"Jeurys Familia",5114,544727
2021,"Wade LeBlanc","- - -",49,0.14987406,,0.27959698,,,0.23929471,,0.10831234,,,0.22292191,,,,"Wade LeBlanc",5221,453281
2021,"Blake Parker","CLE",43.2,0.4628331,,0.11079944,0.34782609,,,,0.07854137,,,,,,,"Blake Parker",5224,453284
2021,"Jose Alvarez","SFG",64.2,0.12268041,,0.03814433,,,0.45670103,0.10206186,,,,0.28041237,,,,"Jose Alvarez",5358,501625
2021,"Michael Pineda","MIN",109.1,0.54161782,,,,,,0.28956624,,,,0.16881594,,,,"Michael Pineda",5372,501381
2021,"Jesse Chavez","ATL",33.2,0.03409091,,0.42045455,,,0.35037879,0.09659091,,,,0.09848485,,,,"Jesse Chavez",5448,445926
2021,"Madison Bumgarner","ARI",146.1,0.33086312,,0.34219704,,,0.03225806,,0.21490846,0.00174368,,0.07802964,,,,"Madison Bumgarner",5524,518516
2021,"Junior Guerra","LAA",65.1,0.1755102,,,0.15836735,,0.3844898,0.12326531,0.15836735,,,,,,,"Junior Guerra",5702,448855
2021,"Trevor Cahill","PIT",37,0.06033183,,0.18552036,,,0.29713424,,,0.21719457,,0.239819,,,,"Trevor Cahill",6249,502239
2021,"Jake Odorizzi","HOU",104.2,0.55224689,,0.10286952,0.21981592,,,0.0730915,0.05197618,,,,,,,"Jake Odorizzi",6397,543606
2021,"Trevor May","NYM",62.2,0.60250671,,,,,,0.24529991,,,,0.15219338,,,,"Trevor May",6398,543507
2021,"José Cisnero","DET",61.2,0.4082397,,0.15543071,,,0.25187266,0.12453184,,,,0.05992509,,,,"Jose Cisnero",6399,542585
2021,"Steve Cishek","LAA",68.1,0.19473264,,,,,0.41660016,0.38627294,,,,0.00239425,,,,"Steve Cishek",6483,518553
2021,"Alex Cobb","LAA",93.1,0.04306523,,,0.37048765,,0.42305256,0.00443319,,0.15896137,,,,,,"Alex Cobb",6562,502171
2021,"Brad Brach","CIN",30,0.47495682,,0.00172712,,,0.03454231,0.12953368,,,,0.35924007,,,,"Brad Brach",6627,542960
2021,"Carlos Carrasco","NYM",53.2,0.39932508,,,,,0.10686164,0.19910011,0.04836895,,,0.24634421,,,,"Carlos Carrasco",6632,471911
2021,"Craig Kimbrel","- - -",59.2,0.59330629,,,,,,,,0.40669371,,,,,,"Craig Kimbrel",6655,518886
2021,"Alex Colomé","MIN",65,0.2933213,,0.69765343,,,0.00270758,0.00180505,,,,0.00451264,,,,"Alex Colome",6661,517008
2021,"Andrew Miller","STL",36,0.16290323,,,,,0.19032258,0.64677419,,,,,,,,"Andrew Miller",6785,453192
2021,"Johnny Cueto","SFG",114.2,0.35889244,,0.01544196,,,0.15495208,0.2172524,0.01650692,0.00053248,,0.23642173,,,,"Johnny Cueto",6893,456501
2021,"Chase Anderson","PHI",48,0.3286385,,0.18075117,,,0.06220657,0.04342723,0.09037559,,,0.29460094,,,,"Chase Anderson",6895,502624
2021,"Martín Pérez","BOS",114,0.13064516,,0.29032258,,,0.25215054,,0.0844086,,,0.24247312,,,,"Martin Perez",6902,527048
2021,"Joakim Soria","- - -",37.1,0.59338843,,,,,0.00661157,0.21322314,0.04297521,,,0.14380165,,,,"Joakim Soria",6941,465657
2021,"Luis García","STL",33.1,0.01397206,,,0.11776447,,0.58083832,0.28742515,,,,,,,,"Luis Garcia",6984,472610
2021,"Ian Kennedy","- - -",56.1,0.82536151,,0.01223582,0.00556174,,,0.02558398,,0.05116796,,0.08008899,,,,"Ian Kennedy",6986,453178
2021,"Ryan Pressly","HOU",64,0.39539749,,,,,0.00209205,0.35774059,0.24476987,,,,,,,"Ryan Pressly",7005,519151
2021,"Daniel Bard","COL",65.2,0.33278554,,,,,0.15447823,0.4609696,,,,0.05176664,,,,"Daniel Bard",7115,453268
2021,"Daniel Hudson","- - -",51.2,0.68208092,,,,,0.00231214,0.28786127,,,,0.02774566,,,,"Daniel Hudson",7146,543339
2021,"Greg Holland","KCR",55.2,0.40320963,,,,,,0.48345035,0.11334002,,,,,,,"Greg Holland",7196,518813
2021,"Craig Stammen","SDP",88.1,0.00611621,,0.21788991,,,0.47629969,0.00152905,,0.29357798,,0.00458716,,,,"Craig Stammen",7274,489334
2021,"J.A. Happ","- - -",152.1,0.53926702,,,,,0.17688856,0.15071055,0.01271503,,,0.12041885,,,,"J.A. Happ",7410,457918
2021,"Wade Davis","KCR",42.2,0.40312094,,0.31989597,,,0.06501951,,,0.19635891,,0.01560468,,,,"Wade Davis",7441,451584
2021,"Collin McHugh","TBR",64,0.10802469,,0.33127572,,,,0.52880658,0.02880658,0.00205761,,0.00102881,,,,"Collin McHugh",7531,543521
2021,"Jake McGee","SFG",59.2,0.90091116,,,,,,0.09908884,,,,,,,,"Jake McGee",7550,459429
2021,"Jordan Lyles","TEX",180,0.39406208,,0.0280027,,,0.09041835,0.23380567,0.18151147,,,0.07219973,,,,"Jordan Lyles",7593,543475
2021,"Wily Peralta","DET",93.2,0.24967825,,,0.22522523,,0.3018018,0.22329472,,,,,,,,"Wily Peralta",7738,503449
2021,"Richard Bleier","MIA",58,0.01313869,,0.23211679,,,0.61605839,0.12554745,,,,0.01313869,,,,"Richard Bleier",7803,542947
2021,"Hunter Strickland","- - -",58.2,0.5127421,,,,,0.05810398,0.4077472,,,,0.02140673,,,,"Hunter Strickland",7836,519326
2021,"Anthony Bass","MIA",61.1,0.07612096,,,0.00834202,,0.41605839,0.49947862,,,,,,,,"Anthony Bass",7982,542914
2021,"Will Smith","ATL",68,0.47265987,,,,,,0.41334569,0.11399444,,,,,,,"Will Smith",8048,519293
2021,"Bryan Shaw","CLE",77.1,0.01528384,,0.77583697,,,0.00218341,0.1077147,0.05676856,,,0.04221252,,,,"Bryan Shaw",8110,543766
2021,"Brett Anderson","MIL",96,0.00598007,,0.08172757,,,0.44983389,0.0744186,,0.13089701,,0.25714286,,,,"Brett Anderson",8223,474463
2021,"Paolo Espino","WSN",109.2,0.55198162,,0.00114877,,,0.00057438,0.16369902,0.24181505,,,0.04078116,,,,"Paolo Espino",8246,502179
2021,"Lucas Luetge","NYY",72.1,0.0008058,,0.62691378,,,,0.21998388,0.15229654,,,,,,,"Lucas Luetge",8337,476595
2021,"Deolis Guerra","OAK",65.2,0.37569061,,,,,0.07918969,0.14180479,0.09392265,,,0.30939227,,,,"Deolis Guerra",8410,500610
2021,"Wade Miley","CIN",163,0.16242284,,0.46527778,,,0.01195988,0.05324074,0.03472222,0.0003858,,0.27199074,,,,"Wade Miley",8779,489119
2021,"César Valdez","BAL",46,0.08718626,,,,,0.11228534,0.05151915,,,,0.74900925,,,,"Cesar Valdez",9013,491624
2021,"Brad Hand","- - -",64.2,0.4098513,,,,,0.16449814,0.42565056,,,,,,,,"Brad Hand",9111,543272
2021,"Nathan Eovaldi","BOS",182.1,0.42261701,,0.125726,0.12675094,,,0.13734199,0.18756406,,,,,,,"Nathan Eovaldi",9132,543135
2021,"Patrick Corbin","WSN",171.2,0.28254545,,,,,0.28109091,0.38472727,0.00945455,,,0.04218182,,,,"Patrick Corbin",9323,571578
2021,"Josh Tomlin","ATL",49.1,0.22524752,,0.47153465,,,,,0.28836634,,,0.01485149,,,,"Josh Tomlin",9388,458708
2021,"Dallas Keuchel","CHW",162,0.0212844,,0.24366972,,,0.37908257,0.07045872,,,,0.28550459,,,,"Dallas Keuchel",9434,572971
2021,"Joe Kelly","LAD",44,0.07724719,,,,,0.33005618,,,0.43117978,,0.16151685,,,,"Joe Kelly",9761,523260
2021,"Garrett Richards","BOS",136.2,0.53024453,,,,,0.00557701,0.27370227,0.12097812,0.000858,,0.06864007,,,,"Garrett Richards",9784,572070
2021,"Rex Brothers","CHC",53,0.655,,,,,0.001,0.344,,,,,,,,"Rex Brothers",9794,571521
2021,"Miles Mikolas","STL",44.2,0.2651622,,,,,0.22849083,0.25669958,0.17630465,0.00141044,,0.0719323,,,,"Miles Mikolas",9803,571945
