Season,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
2021,"Giovanny Gallegos","STL",80.1,0.3561848,0.69734513,0.51213592,0.41004184,0.84517766,0.68088468,0.45711974,31.55441008,"Giovanny Gallegos",14986,606149
2022,"Giovanny Gallegos","STL",59,0.34932821,0.71092077,0.52024291,0.41758242,0.80421687,0.66731518,0.47267206,30.84897959,"Giovanny Gallegos",14986,606149
2021,"Rafael Dolis","TOR",32,0.22153846,0.62815884,0.40863787,0.51388889,0.83333333,0.7398374,0.46013289,30.8108747,"Rafael Dolis",4185,503569
2021,"Aroldis Chapman","NYY",56.1,0.24646465,0.62868369,0.44023904,0.3852459,0.70625,0.61764706,0.50697211,30.56094183,"Aroldis Chapman",10233,547973
2022,"Devin Williams","MIL",60.2,0.35714286,0.62389381,0.47003745,0.44545455,0.73758865,0.60956175,0.42322097,30.54522924,"Devin Williams",15816,642207
2021,"Alex Colomé","MIN",65,0.29752066,0.71570577,0.48736462,0.53333333,0.84722222,0.74259259,0.45397112,30.44010088,"Alex Colome",6661,517008
2021,"Kyle Finnegan","WSN",66,0.25905797,0.65449011,0.47394541,0.55244755,0.84651163,0.77312391,0.54342432,30.39261745,"Kyle Finnegan",15009,640448
2021,"Hirokazu Sawamura","BOS",53,0.30685921,0.70542636,0.47077577,0.42352941,0.81318681,0.66365688,0.41126461,30.13138686,"Hirokazu Sawamura",27515,617228
2022,"Alex Colomé","COL",47,0.28509719,0.7020649,0.46134663,0.64393939,0.90756303,0.81351351,0.42269327,29.96466431,"Alex Colome",6661,517008
2021,"Joe Kelly","LAD",44,0.27002967,0.552,0.41853933,0.41758242,0.85507246,0.72147651,0.52668539,29.9561753,"Joe Kelly",9761,523260
2021,"Victor González","LAD",35.1,0.28027682,0.61940299,0.44344704,0.50617284,0.85542169,0.74089069,0.48114901,29.83333333,"Victor Gonzalez",16408,624647
2022,"Kenley Jansen","ATL",64,0.29082774,0.67148014,0.5014985,0.63846154,0.81451613,0.7689243,0.55344655,29.42265193,"Kenley Jansen",3096,445276
2021,"Hunter Strickland","- - -",58.2,0.26652452,0.69335938,0.48929664,0.616,0.8,0.75208333,0.52191641,29.32083333,"Hunter Strickland",7836,519326
2021,"Kenley Jansen","LAD",69,0.28094303,0.69395018,0.49766573,0.46153846,0.77692308,0.69230769,0.52474323,29.29518856,"Kenley Jansen",3096,445276
2021,"Blake Parker","CLE",43.2,0.30748663,0.6460177,0.4684432,0.6173913,0.8630137,0.77844311,0.47545582,29.16699029,"Blake Parker",5224,453284
2021,"Chris Martin","ATL",43.1,0.30181818,0.71948052,0.54545455,0.57831325,0.88447653,0.81388889,0.58333333,29.05319149,"Chris Martin",11847,455119
2021,"Emmanuel Clase","CLE",69.2,0.37109375,0.71691176,0.54924242,0.45263158,0.81025641,0.69310345,0.51515152,29.01038961,"Emmanuel Clase",21032,661403
2022,"Andrew Bellatti","PHI",54.1,0.33274021,0.65679012,0.46845915,0.44919786,0.80075188,0.65562914,0.4188211,28.96393897,"Andrew Bellatti",10657,571479
2022,"Kyle Finnegan","WSN",66.2,0.24229075,0.68280467,0.49287749,0.55454545,0.79706601,0.74566474,0.5688509,28.95769231,"Kyle Finnegan",15009,640448
2022,"Alex Vesia","LAD",54.1,0.28541226,0.67364017,0.48054679,0.57037037,0.74223602,0.69146608,0.50262881,28.90960452,"Alex Vesia",25007,681911
2021,"Josh Staumont","KCR",65.2,0.23327306,0.63720074,0.43339416,0.51937984,0.84104046,0.75368421,0.49543796,28.89862328,"Josh Staumont",18335,622251
2021,"Daniel Hudson","- - -",51.2,0.2705314,0.75166297,0.52138728,0.4375,0.78171091,0.6962306,0.52138728,28.88098918,"Daniel Hudson",7146,543339
2021,"Hansel Robles","- - -",69,0.25137615,0.6859375,0.48607595,0.64963504,0.81776765,0.77777778,0.54008439,28.83215962,"Hansel Robles",11801,570663
2021,"Emilio Pagán","SDP",63.1,0.29566855,0.73015873,0.52003643,0.59235669,0.78743961,0.73380035,0.51639344,28.78117359,"Emilio Pagan",14771,641941
2021,"Ryan Thompson","TBR",34,0.31034483,0.64285714,0.50310559,0.66666667,0.78333333,0.75308642,0.57971014,28.77419355,"Ryan Thompson",16647,657044
2021,"Brad Hand","- - -",64.2,0.20040486,0.60996564,0.42193309,0.62626263,0.87042254,0.81718062,0.54089219,28.73503185,"Brad Hand",9111,543272
2021,"Mark Melancon","SDP",64.2,0.25193798,0.6461825,0.45299145,0.56153846,0.8962536,0.80503145,0.50997151,28.72608126,"Mark Melancon",4264,453343
2022,"Dominic Leone","SFG",49.1,0.39956803,0.74380165,0.55084746,0.42162162,0.82962963,0.66373626,0.43946731,28.71548822,"Dominic Leone",13763,608678
2021,"Deolis Guerra","OAK",65.2,0.31164384,0.67729084,0.48066298,0.53846154,0.85,0.74137931,0.46224678,28.67465322,"Deolis Guerra",8410,500610
2022,"Aroldis Chapman","NYY",36.1,0.24585635,0.60567823,0.41384389,0.57303371,0.75,0.69395018,0.46686303,28.61952191,"Aroldis Chapman",10233,547973
2022,"Jonathan Loáisiga","NYY",48,0.32061069,0.69251337,0.50195567,0.63492063,0.83397683,0.76883117,0.48761408,28.56079855,"Jonathan Loaisiga",19753,642528
2022,"Hunter Strickland","CIN",62.1,0.25782689,0.68274583,0.46950092,0.5,0.86141304,0.76181102,0.49815157,28.50126263,"Hunter Strickland",7836,519326
2021,"Matt Foster","CHW",39,0.24046921,0.70876289,0.48971193,0.63414634,0.83636364,0.78991597,0.53223594,28.44935543,"Matt Foster",19647,641582
