Season,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
2024,"George Kirby","SEA",191,9.165172891323238,,5.1656362360174,1.0784190601070984,,6.88062045849679,-1.2451278816940439,,-7.790859897440844,,,,3.4521148204803467,"George Kirby",25436,669923
2023,"George Kirby","SEA",190.2,8.858158687893436,,,0.42569183885005485,,6.168223714593596,-1.1808255422029563,,-7.258551703559028,,3.28118896484375,,1.7244428396224976,"George Kirby",25436,669923
2023,"Matt Waldron","SDP",41.1,8.867329694222713,,4.84599460255016,,,5.036941144451405,2.1309487731368453,,,,,,-1.8287089029947916,"Matt Waldron",25550,663362
2024,"Matt Waldron","SDP",146.2,8.1468015937395,,5.339806181559631,,,4.701853138866911,2.517463158187552,,,,,,-2.152071137861772,"Matt Waldron",25550,663362
2021,"Adam Ottavino","BOS",62,8.396554642364759,,4.148048400878906,3.666492462158203,,4.175289868551587,-0.46036796848269274,-6.176182270050049,,,2.12548145494963,,,"Adam Ottavino",1247,493603
2021,"Sean Doolittle","- - -",49.2,11.65181304715204,,,5.523898784930889,,,3.3976626493492903,0.7245575586954752,,,,,,"Sean Doolittle",1581,448281
2021,"Matt Moore","PHI",73,9.085000092128539,,8.464323545757093,,,,,,-4.298563241958618,,4.5255536993835195,,,"Matt Moore",1890,519043
2021,"Zack Greinke","HOU",171,9.715097547153343,,1.8989658702503551,,,6.765556700277648,2.2474776495874456,-6.118777654747262,-1.0265400409698486,11.03361988067627,3.065610996239634,,,"Zack Greinke",1943,425844
2021,"Clayton Kershaw","LAD",121.2,11.383689788450678,,,,,,5.149111305361306,-8.74709714114011,,,9.403377879749645,,,"Clayton Kershaw",2036,477132
2021,"Adam Wainwright","STL",206.1,8.48892548730142,,3.895657826618976,,,7.329249235044902,,-8.519467151303088,-9.044851129705256,,4.6702887119391026,,,"Adam Wainwright",2233,425794
2021,"Corey Kluber","NYY",80,8.439878369941086,,4.2321435278588595,,,4.877292088099888,,0.18822454010863948,,,2.924108754033628,,,"Corey Kluber",2429,446372
2021,"Lance Lynn","CHW",157,8.62395127309261,,2.9151819510053296,,,3.952560394225952,-3.629122734069824,-2.347678313384185,,,3.897200720650809,,,"Lance Lynn",2520,458681
2021,"Jhoulys Chacín","COL",64.1,8.669712448120118,,,,,5.998613528928895,3.6254279150217066,0.9482245737711589,,,4.117640593113044,,,"Jhoulys Chacin",2608,468504
2021,"Ross Detwiler","- - -",52.1,9.880710842601484,,3.187115450517847,,,6.095563417905337,,-4.13048463081246,,,5.049165823520759,,,"Ross Detwiler",2859,446321
2021,"Kenley Jansen","LAD",69,,,10.266949336744833,,,11.313482732118683,-3.2398393110795456,,,,,,,"Kenley Jansen",3096,445276
2021,"Tony Watson","- - -",57.1,5.791668729298675,,,,,4.51895442761873,0.8837454581374757,,,,4.140419536166721,,,"Tony Watson",3132,453265
